,spacy_lem
1944,get lousy sleep keep wake 2 hour cat want come worry cold
1945,yeah leave couple minute amp let know mu
1946,ü 10:10 sure dat wake
1947,hey jazz power yoga hip hop kb yogasana
1948,battery mr adewale uncle aka egbon
1949,not pick phone right pls send message
1950,wait 2 min stand bus stop
1951,oh ic think mean mary jane
1952,haha oh deduct lesson tmr
1953,nah m goin 2 wrk j wot bout u
1954,eat shit wait ur monkey face bitch u asshole
1955,good night go sleep
1956,aight grab eat text mu
1957,k k:)why not come search job
1958,pain move 6hr doctor
1959,lol oh babe will not slide place midnight thank invite
1960,howz person story
1961,guess somebody know secretly fancy wanna find 09065394973 landline datebox1282essexcm61xn 150p min 18
1962,lol awesome payback
1963,80488 500 free text message valid 31 december 2005
1964,yes completely form:)clark utter waste
1965,honeybee say d sweet d world god laugh amp say wait u havnt meet d person read msg moral god crack joke gm+gn+ge+gn
1966,thank tesco nice go speak soon
1967,feathery bowa guy know
1968,not close eye vava play umma -d
1969,2 laptop noe infra slow lar wan fast
1970,win guarantee £ 200 award £ 1000 cashto claim ur award free 08000407165 18 + 2 stop getstop 88222 php
1971,nvm ok
1972,enjoy ur life good night
1973,yes meet town cos gep home text bus stop worry finish march ish
1974,askd u question hour answer
1975,s cool cum
1976,delhi chennai silent
1977,lol alright thinkin haha
1978,reply win £ 100 weekly 2006 fifa world cup hold send stop 87239 end service
1979,boat mom check yo half naked
1980,shhhhh suppose know
1981,sorry later
1982,sorry later meet thing relate trade arul lt;#&gt
1983,hey late amk need drink tea coffee
1984,wnt buy bmw car urgently vry urgent.but hv shortage   lt;#&gt lacs.there source arng dis amt lt;#&gt lac that prob
1985,urgent 09061743810 landline abta complimentary 4 tenerife holiday 5000 cash await collection sae t&cs box 326 cw25wx 150 ppm
1986,length e e short n get fringe thk go liao lazy dun wan 2 distract u
1987,s antha num corrct dane
1988,call message miss call
1989,sorry later
1990,basket gettin tonight
1991,hi darlin ve get nice night thank lift u tomorrow xxx
1992,valentine huh proof fb page ugh glad watch rupaul tool
1993,free tone hope enjoy new content text stop 61610 unsubscribe help:08712400602450p provide tones2you.co.uk
1994,eh den sit u book e kb liao huh
1995,practise curtsey
1996,shall come pickle
1997,lol boo hope laugh
1998,yeh def up4 sit get payed2day havbeen give a£50 pay rise 4my work havebeen preschoolco ordinator 2i feelingood luv
1999,leave class babe come hope nice sleep love
2000,lmao fish memory need
2001,b go 2 sch mon sis need 2 smth
2002,idea soon convert live
2003,themob > yo yo yo come new selection hot download member free click open link send ur fone
2004,s s india go draw series year south african soil
2005,goodmorning today late   lt;decimal&gt min
2006,major role community outreach rock mel
2007,shopping lor rain mah hard 2 leave orchard
2008,hi birth     8 lb 7 oz mother baby brilliantly
2009,forwarding message proof
2010,go intention run choose room clean visitor maybe good choice yes want embarasse maybe feel feel friend want drop buy happen morning try know
2011,dunno lei thk mum lazy neva ask
2012,want know rule talk early week start happen show responsibility week bend rule way way tired have thia argument week   lt;#&gt   movie not inlude preview get 1
2013,beautiful truth gravity read carefully heart feel light feel heavy leave goodmorne
2014,great news freefone 08006344447 claim guarantee £ 1000 cash £ 2000 gift speak live operator
2015,ambrith madurai meet u arun dha marrge remembr
2016,read shame tell take run blame u 4 4 long time
2017,princess kitty shave natural
2018,well bb will not use wife doctor
2019,ya come ago
2020,tomorrow onwards eve 6 3 work
2021,lor toa payoh get place 2 walk meh
2022,anybody number think tactful way ask alex
2023,"u win £ 100 music gift voucher week start txt word draw 87066 tscs www.ldew.com skillgame,1winaweek age16.150ppermesssubscription"
2024,movie theatre watch unlimited movie pay
2025,u have lunch bored
2026,yes obviously eggs pert potato head speak soon
2027,nah man car mean cram people
2028,get new job bar airport satsgettin 4.47per hour mean lie touch
2029,kallis ready bat 2nd inning
2030,thanx birthday
2031,ugh y u apologize admit u wrong ask u
2032,noe la u wana pei bf oso rite k lor day den
2033,yes small kid boost secret energy
2034,m going to miss u
2035,avatar suppose subtoitle
2036,simply sit watch match office
2037,jot thing want remember later
2038,oh sorry
2039,hey go lo lesson gym
2040,not pack buy store.like cereal pack food pack gari 9ja miss
2041,thing big
2042,ü dun wan watch infernal affair
2043,wake 4 afternoon sup
2044,4mths half price orange line rental late camera phone 4 free phone 11mth mobilesdirect free 08000938767 update or2stoptxt
2045,send pic like
2046,okay book include bugis
2047,aight fuck later
2048,de time ill tell k
2049,not use hook
2050,blackberry bold2 nigeria
2051,hi home calicut
2052,hey darlin pick u college u tell wen 2 mt love pete xx
2053,"09094100151 use ur min call cast 10p min mob vary service provide aom gbp5 month aom box61,m60 1er u stop age 18 +"
2054,oh thkin goin yogasana 10 den nd 3 den rush parco 4 nb okie lor u ready
2055,y late need n da laptop
2056,sir wait mail
2057,.please charge mobile morning
2058,get msg frm tht unknown
2059,ugh fuck resubbe eve
2060,shadow early spring yay
2061,slice breadstick lol
2062,hey want crave miss need love ahmad saeed al hallaq
2063,training tomorrow
2064,"urgent mobile win £ 2,000 bonus caller prize 02/06/03 2nd attempt reach 09066362220 asap box97n7qp 150ppm"
2065,pass dis ur contact n wat u red;i'm luv wid u. blue;u smile face purple;u r realy hot pink;u r swt orange;i thnk lyk u. green;i realy wana wid u. yelow;i wnt u bck black;i'm jealous u. brown;i miss nw plz giv color
2066,cos daddy arranging time c wat time fetch ü mah
2067,eld know
2068,hi drugdealer
2069,hard believe thing like lie think twice say
2070,eerie nokia tone 4u rply tone title 8007 eg tone dracula 8007 title ghost addamsfa munster exorcist twilight www.getzed.co.uk pobox36504w45wq 150p
2071,sexy single wait text age follow gender wither m f e.g.23f gay man text age follow g. e.g.23 g.
2072,good night dear sleepwell&amp;take care
2073,wondarfull song
2074,freemsg claim ur 250 sm message text ok 84025 now!use web2mobile 2 ur mate etc join txt250.com 1.50p wk t&c box139 la32wu 16 remove txtx stop
2075,yar lor actually fast cos da ge slow wat haha
2076,come later normally bathe da afternoon mah
2077,trust
2078,hey hun onbus goin 2 meet want 2go 4a meal donyt feel like cuz 2 bus home!but s sweet latelyxxx
2079,85233 free > ringtone!reply real
2080,like noon
2081,opening mca
2082,aight wat happen
2083,oredi
2084,sweet princess tell like dislike bed
2085,wish great semester
2086,moji love word rich day
2087,dude like buff wind
2088,alright babe justthought id sayhey u doin?nearly endof wk offdam nevamind!we 2hook sn uwant m8 lovejen x.
2089,england official poly ringtone colour flag yer mobile text tone flag 84199 opt txt eng stop box39822 w111wx £ 1.50
2090,want need actually well yor you've get money work man pay rent fill fucking gas tank yes stress depressed home thanksgiving cuz tell m
2091,s:-)kalli will not play odi:-
2092,cash text jason
2093,oh love soooo good hear omg miss today sorry have problem provider thank tme
2094,final chance claim ur £ 150 worth discount voucher today text yes 85023 savamob member offer mobile t cs savamob pobox84 m263uz £ 3.00 sub 16
2095,private 2004 account statement 07742676969 show 786 unredeemed bonus point claim 08719180248 identifier code 45239 expire
2096,probably want pick
2097,
2098,cut girl world
2099,dice art class 6 9 thank idea time come tomorrow
2100,sms service inclusive text credit pls goto www.comuk.net login= unsubscribe stop extra charge help:08700469649 po box420 ip4 5we
2101,oh howda gud gud mathe en samachara chikku:-
2102,thk 530 lor dunno ticket wat u
2103,audrie lousy autocorrect
2104,site simulate test give tough question test readiness
2105,seriously hit light armand shit and/or vomit
2106,fetch yun u fetch
2107,thank like
2108,hmmm imagine come home have rub foot dinner help ready date sure ready kind life
2109,free2day sexy st george day pic jordan!txt pic 89080 not miss wk saucy celeb!4 pic c pocketbabe.co.uk 0870241182716 £ 3 wk
2110,lara say loan   lt;#&gt
2111,spare power supply
2112,yar clever aft guess lor get ask 2 bring thk darren willing 2 aiya thk leona attach wat
2113,winner specially select receive £ 1000 cash £ 2000 award speak live operator claim 087123002209am-7pm cost 10p
2114,yeah bed midnight
2115,sunshine hol claim ur med holiday send stamped self address envelope drink uk po box 113 bray wicklow eire quiz start saturday unsub stop
2116,available washob nobbe night ask nickey platt instead
2117,time week ryan
2118,wish u return day happy birthday vikky
2119,u win £ 100 music gift voucher week start txt word draw 87066 tscs www.idew.com skillgame 1winaweek age16 150ppermesssubscription
2120,hope know mad
2121,argh 3 g spotty thing remember research province sterling problem free place look
2122,xam hall boy ask girl tell start term dis answer den manage lot hesitation n lookin silently say intha ponnungale ipaditan
2123,know result
2124,+123 congratulation week competition draw u win £ 1450 prize claim 09050002311 b4280703 t&c stop sm 08718727868 18 150ppm
2125,beautiful truth gravity read carefully heart feel light feel heavy leave good night
2126,sorry m get feel bad- totally reject kinda thing
2127,get shitload diamond
2128,tessy pls favor pls convey birthday wish nimya pls dnt forget today birthday shijas
2129,go aunty
2130,like fr china noisy
2131,later guess needa mcat study
2132,s training manual tech process:)it password reset troubleshoot
2133,b4u voucher w c 27/03 marsm log www.b4utele.com discount credit opt reply stop customer care 08717168528
2134,speak uncle john today strongly feel need sacrifice go beg listen not promise clear thing easy need let work thing long expect help creativity stifle pls happy promise
2135,start search job days.he great potential talent
2136,carlos take leave minute
2137,luv you
2138,come hostel
2139,k love
2140,juz remember got to bathe dog today
2141,drug able eat
2142,alright take morphine yo
2143,requirement
2144,stayin trouble stranger!!saw dave day he sort now!still bloke u gona girl mr!ur mum think 2getha
2145,freemsg hey buffy 25 love satisfy man home feel randy reply 2 c pix qlynnbv help08700621170150p msg send stop stop txts
2146,sunshine hol claim ur med holiday send stamped self address envelope drink uk po box 113 bray wicklow eire quiz start saturday unsub stop
2147,collect ur laptop
2148,ok later show 8 8:30 want + cld drink wld prefer spend money nosh mind nxt wk
2149,home
2150,waaaat lololo ok time
2151,table occupy wait tree
2152,surely not forgot come:)i touch you:-
2153,hi kindly document submit loan stapati
2154,not shall buy dear
2155,oh god happy message 3 day
2156,year mile
2157,hey cutie go wale kinda ok like hill shit avent kill
2158,sad story man week b'day wife did'nt wish parent forget n kid go work colleague wish enter cabin pa say happy b'day boss feel special askd 4 lunch lunch invite apartment go say u mind bedroom minute ok se sexy mood come 5 minut latr wid cake n wife parent kidz friend n colleague scream surprise wait sofa naked
2159,think honesty road bank tomorrow tough decision great people
2160,free 1st week no1 nokia tone 4 ur mob week txt nokia 87077 txte tell ur mate ze pobox 36504 w45wq norm150p tone 16 +
2161,specialisation work slave labor look month sha cos shakara 4 beggar
2162,reply boye change phone number
2163,1 write msg 2 dictionary mode 3)cover screen hand 4)press   lt;#&gt 5)gently remove ur hand interesting
2164,hi darlin m way london smash driver big dent m miss u u xxx
2165,make sure everybody speed
2166,come home 4 dinner
2167,thank way lose
2168,yes.he good crickite mind
2169,thx month
2170,shop till u drop 10k 5k £ 500 cash £ 100 travel voucher 09064011000 ntt po box cr01327bt fixedline cost 150ppm mobile vary
2171,come imin town.dontmatter urgoin outl8r reallyneed 2docd.please dontplease dontignore mycall u thecd isv.important tome 4 2moro
2172,will nt wat wit guy
2173,yavnt try play original
2174,hiya good day speak weekend
2175,think
2176,work
2177,ready moan scream
2178,oh k get job s
2179,don t think need go late school night especially class miss wednesday probably fail test friday
